survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
SDSS_AB,18.418082000000002,17.90703,17.735298999999998,17.652054,18.387399673461914,17.918399810791016,17.73780059814453,17.684799194335938,308.54940178,0.36264089
SDSS_AB,18.623582,18.27163,18.132699,18.079454000000002,18.593799591064453,18.273500442504883,18.1343994140625,18.099199295043945,308.55043693,0.77353594
SDSS_AB,18.562382,17.87963,17.651899,17.520654,18.487199783325195,17.893699645996094,17.656299591064453,17.57670021057129,308.55149041,0.4013189
SDSS_AB,18.560282,18.09623,17.915098999999998,17.852754,18.48509979248047,18.105100631713867,17.940000534057617,17.9064998626709,308.5516783,1.21939729
SDSS_AB,16.947582,16.44023,16.249599,16.144754000000002,16.87809944152832,16.442800521850586,16.255399703979492,16.192899703979492,308.55302032,0.35682358
SDSS_AB,16.102882,15.650429999999998,15.461699,15.394154,16.019800186157227,15.624799728393555,15.455599784851074,15.402899742126465,308.55363656,-0.93861359
SDSS_AB,17.581482,16.99403,16.791498999999998,16.695154000000002,17.50160026550293,16.980899810791016,16.792400360107422,16.72719955444336,308.55396471,0.32480046
SDSS_AB,18.782082,18.14273,17.933398999999998,17.793254,18.65019989013672,18.128700256347656,17.91659927368164,17.838899612426758,308.55424278,-0.12810339
SDSS_AB,16.864882,16.336029999999997,16.154999,16.051354,16.792299270629883,16.347700119018555,16.151199340820312,16.095699310302734,308.55455426,0.39627608
SDSS_AB,18.808582,18.02753,17.745499,17.593954,18.724000930786133,18.02440071105957,17.761499404907227,17.653600692749023,308.55478282,1.20414276
SDSS_AB,17.342182,16.82163,16.637898999999997,16.559654000000002,17.27680015563965,16.819400787353516,16.64940071105957,16.600400924682617,308.55499246,0.35035351
SDSS_AB,18.400582,18.21813,18.195899,18.236054,18.386199951171875,18.219200134277344,18.20669937133789,18.254499435424805,308.5555311,0.67064815
SDSS_AB,18.793282,17.81243,17.452999,17.224854,18.690200805664062,17.785200119018555,17.436100006103516,17.273099899291992,308.55592266,-0.95759322
SDSS_AB,17.616882,17.10243,16.930999,16.842354,17.552900314331055,17.092100143432617,16.926599502563477,16.88909912109375,308.55697209,0.65833102
SDSS_AB,18.538582,17.79413,17.518898999999998,17.361954,18.40730094909668,17.768699645996094,17.52519989013672,17.39240074157715,308.55856823,0.67096347
SDSS_AB,18.881782,18.08203,17.775799,17.596554,18.77790069580078,18.09320068359375,17.785900115966797,17.678800582885742,308.55858123,0.36872853
SDSS_AB,18.491382,17.621229999999997,17.275799,17.045354,18.37809944152832,17.615800857543945,17.287900924682617,17.125099182128906,308.55915343,-0.57595942
SDSS_AB,18.619282000000002,17.66153,17.281098999999998,17.052854,18.526599884033203,17.654699325561523,17.286699295043945,17.110599517822266,308.56018036,0.31859178
SDSS_AB,16.210682000000002,15.65683,15.427098999999998,15.321554,16.124399185180664,15.642200469970703,15.436800003051758,15.358099937438965,308.56051275,-0.53894269
SDSS_AB,16.218482,15.808329999999998,15.670399,15.612154,16.167200088500977,15.788599967956543,15.663100242614746,15.630000114440918,308.56069151,0.65386581
SDSS_AB,18.527982,17.51023,17.154799,16.946554000000003,18.367900848388672,17.494199752807617,17.15250015258789,17.012100219726562,308.56069241,1.15241517
SDSS_AB,18.711882,18.01513,17.782398999999998,17.627854,18.639999389648438,18.006200790405273,17.76959991455078,17.67449951171875,308.56100039,-0.05614081
SDSS_AB,18.475382,17.34023,16.915198999999998,16.654054000000002,18.338899612426758,17.3351993560791,16.91550064086914,16.718599319458008,308.56175527,-0.48303699
SDSS_AB,17.636882,17.01823,16.780599,16.652854,17.574800491333008,17.012500762939453,16.78569984436035,16.701099395751953,308.56293984,0.38434043
SDSS_AB,17.543282,17.006629999999998,16.816599,16.740954000000002,17.485000610351562,17.003299713134766,16.829700469970703,16.77359962463379,308.5646796,0.37207546
SDSS_AB,15.004182,14.433929999999998,14.257598999999999,14.201854,14.899700164794922,14.429100036621094,14.257699966430664,14.219400405883789,308.56505847,1.18252766
