survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-g_AV,GAIA-b_AV,GAIA-r_AV,GAIA_SNLS-g,GAIA_SNLS-r,GAIA_SNLS-i,GAIA_SNLS-z,SOURCEID
SNLS_AB,18.2762,17.9061,17.7804,17.7376,18.2712,17.9051,17.7847,17.7611,36.9831,-4.70918,0.095085,0.0676197,0.0494275,0.0386552,0.0954,0.0682958,0.0503503,0.0401034,17.9306,17.4568,18.2392,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.7851,17.0767,16.7945,16.6588,17.8014,17.0931,16.8062,16.6882,36.3365,-4.70598,0.0863025,0.0608958,0.0444275,0.0346552,0.0866,0.0614366,0.0453503,0.0361034,17.1333,16.4562,17.6684,0,0,0,17.7893,17.0836,16.8022,16.6714,2489557422097159552
SNLS_AB,18.652,17.8987,17.6073,17.4687,18.6471,17.9239,17.637,17.4928,36.4028,-4.70442,0.0843025,0.0596197,0.0434275,0.0345616,0.0846,0.0602958,0.0443503,0.035803,17.965,17.2825,18.4774,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.0236,16.6088,16.4762,16.4338,17.0261,16.6234,16.4835,16.4496,36.6869,-4.69891,0.08052,0.0568958,0.041742,0.0325616,0.0808,0.0574366,0.0424802,0.033803,16.6513,16.142,16.998,0,0,0,17.0425,16.6109,16.4865,16.452,2489179293176373248
SNLS_AB,18.5545,18.2446,18.1396,18.1158,18.5539,18.2534,18.1531,18.1426,36.7187,-4.69966,0.08152,0.0578958,0.0424275,0.033468,0.0818,0.0584366,0.0433503,0.0345025,18.2546,17.794,18.5914,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.5018,17.9128,17.6873,17.5779,18.5074,17.9331,17.7049,17.6031,36.2879,-4.69847,0.0843025,0.0596197,0.0434275,0.0345616,0.0846,0.0602958,0.0443503,0.035803,17.9682,17.3818,18.4698,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.7251,18.314,18.1484,18.0942,18.7384,18.3152,18.1574,18.1219,36.7851,-4.69882,0.0853025,0.0606197,0.0444275,0.0345616,0.0856,0.0612958,0.0453503,0.035803,18.3405,17.8298,18.7313,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.0447,16.8131,16.7492,16.7378,17.0474,16.8171,16.7391,16.7517,36.0984,-4.6852,0.0843025,0.0596197,0.0434275,0.0345616,0.0846,0.0602958,0.0443503,0.035803,16.8012,16.4117,17.0687,0,0,0,17.0551,16.8353,16.7572,16.7441,2489565801578233728
SNLS_AB,17.3006,16.6306,16.383,16.2702,17.3175,16.6387,16.4002,16.309,36.8011,-4.68082,0.08252,0.0578958,0.0424275,0.0335616,0.0828,0.0584366,0.0433503,0.034803,16.6976,16.0498,17.1971,0,0,0,17.3096,16.6277,16.3963,16.2762,2489184649000359296
SNLS_AB,17.33,16.9451,16.8389,16.8056,17.3398,16.9478,16.8377,16.8352,36.9558,-4.67811,0.091085,0.0638958,0.047113,0.0366552,0.0914,0.0644366,0.0482203,0.0381034,16.9854,16.5014,17.3266,0,0,0,17.3445,16.9418,16.8384,16.8067,2489181045523046016
SNLS_AB,18.1549,17.5798,17.364,17.2673,18.1601,17.5978,17.3654,17.2706,36.3699,-4.67589,0.08352,0.0588958,0.0434275,0.0335616,0.0838,0.0594366,0.0443503,0.034803,17.6298,17.0336,18.0911,0,0,0,18.1815,17.5895,17.3682,17.2716,2489557933198149632
SNLS_AB,17.7095,17.1198,16.8816,16.7723,17.7235,17.1392,16.8941,16.7882,36.3521,-4.67064,0.08252,0.0586197,0.042742,0.0335616,0.0828,0.0592958,0.0434802,0.034803,17.1675,16.5445,17.66,0,0,0,17.7189,17.1317,16.8902,16.7827,2489558006212711424
SNLS_AB,18.3204,17.8675,17.7141,17.6562,18.3512,17.877,17.7217,17.6933,36.3261,-4.66504,0.08252,0.0578958,0.0424275,0.0335616,0.0828,0.0584366,0.0433503,0.034803,17.9097,17.3709,18.2857,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.7501,17.2676,17.0733,16.9937,17.7604,17.2749,17.0975,17.0211,36.8311,-4.65948,0.0873025,0.0616197,0.0454275,0.0355616,0.0876,0.0622958,0.0463503,0.036803,17.316,16.7499,17.7123,0,0,0,17.7806,17.2656,17.0991,17.0107,2489184790734510080
SNLS_AB,17.928,17.4372,17.2636,17.1941,17.9299,17.4479,17.2674,17.2157,36.6517,-4.65776,0.0843025,0.0596197,0.0434275,0.034468,0.0846,0.0602958,0.0443503,0.0355025,17.4828,16.9102,17.9013,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.5298,18.1767,18.0526,17.994,18.5365,18.1897,18.0576,18.0135,36.0043,-4.65555,0.093085,0.0656197,0.048113,0.0376552,0.0934,0.0662958,0.0492203,0.0391034,18.197,17.7123,18.5341,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.5801,17.166,17.0338,16.9907,17.5856,17.1806,17.0342,17.0022,36.3728,-4.65004,0.08152,0.0578958,0.0424275,0.033468,0.0818,0.0584366,0.0433503,0.0345025,17.2021,16.7007,17.5671,0,0,0,17.5858,17.1771,17.0441,16.9861,2489558139356583808
SNLS_AB,17.5801,17.166,17.0338,16.9907,17.568,17.1751,17.0346,16.9983,36.3728,-4.65004,0.08152,0.0578958,0.0424275,0.033468,0.0818,0.0584366,0.0433503,0.0345025,17.2021,16.7007,17.5671,0,0,0,17.5858,17.1771,17.0441,16.9861,2489558139356583808
SNLS_AB,18.8061,18.5455,18.4607,18.4427,18.7833,18.5534,18.4429,18.4676,36.1331,-4.65199,0.074955,0.0528958,0.038742,0.030468,0.0752,0.0534366,0.0394802,0.0315025,18.5343,18.2161,18.8095,0,0,0,-999,-999,-999,-999,-999
