survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,ZTF-G,ZTF-R,ZTF-I,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV
ZTF,16.2702,15.7061,15.5063,16.2703,15.696,15.4759,15.3985,251.776,71.8272,0.10005,0.0662957746478873,0.0482711864406779,0.0972,0.0692957746478873,0.0513502824858757,0.041103448275862,99,99,99,99,99,99
ZTF,18.0725,17.4945,17.2474,18.0825,17.4884,17.236,17.1341,234.476,45.6881,0.03965,0.0265183098591549,0.0195084745762711,0.0386,0.0277183098591549,0.0207401129943502,0.0159014778325123,99,99,99,99,99,99
ZTF,16.2599,15.8665,15.7358,16.2732,15.8449,15.6898,15.6493,222.244,38.2657,0.0317,0.0212591549295774,0.0155084745762711,0.0308,0.0218591549295774,0.0167401129943502,0.0129014778325123,99,99,99,99,99,99
ZTF,17.4695,16.7745,16.5041,17.4836,16.7673,16.4947,16.3806,232.948,58.7066,0.0327,0.0215183098591549,0.0155084745762711,0.0318,0.0227183098591549,0.0167401129943502,0.0136009852216748,99,99,99,99,99,99
ZTF,17.8337,17.4038,17.2663,17.8331,17.3843,17.2107,17.1361,214.233,64.4193,0.0535,0.0355183098591549,0.0257627118644067,0.052,0.0367183098591549,0.0276101694915254,0.0219014778325123,99,99,99,99,99,99
ZTF,16.5106,16.2463,16.1331,16.5441,16.2197,16.0917,16.0757,243.008,71.7402,0.10105,0.0662957746478873,0.0482711864406779,0.0982,0.0692957746478873,0.0513502824858757,0.041103448275862,99,99,99,99,99,99
ZTF,17.5945,16.8815,16.6342,17.5891,16.8817,16.6177,16.5116,237.749,50.5964,0.05745,0.0377774647887323,0.0270169491525423,0.0558,0.0395774647887324,0.0294802259887005,0.0232019704433497,99,99,99,99,99,99
ZTF,17.63,17.0951,16.8959,17.639,17.0804,16.8585,16.7859,245.924,29.7399,0.106,0.0702957746478873,0.0505254237288135,0.103,0.0732957746478873,0.0542203389830508,0.043103448275862,99,99,99,99,99,99
ZTF,17.1317,16.4962,16.2551,17.1379,16.4798,16.2364,16.1318,230.824,43.1116,0.0732999999999999,0.0487774647887324,0.0350169491525423,0.0712,0.0505774647887324,0.0374802259887005,0.0295024630541871,99,99,99,99,99,99
ZTF,15.9633,15.6718,15.5799,15.9897,15.6374,15.5295,15.5072,230.603,66.2538,0.07925,0.0520366197183098,0.0380169491525423,0.077,0.0544366197183098,0.0404802259887005,0.0318029556650246,99,99,99,99,99,99
ZTF,17.5972,16.9206,16.6549,17.5955,16.9168,16.6401,16.5185,254.476,19.9906,0.2437,0.1611098591549296,0.1165593220338983,0.2368,0.1683098591549296,0.1251807909604519,0.0991083743842364,99,99,99,99,99,99
ZTF,16.4177,16.0304,15.8912,16.4314,16.008,15.8624,15.8267,253.3,43.2513,0.04655,0.0305183098591549,0.0217627118644067,0.0452,0.0317183098591549,0.0236101694915254,0.0189014778325123,99,99,99,99,99,99
ZTF,15.8417,15.5327,15.4239,15.8605,15.5058,15.3794,15.3665,248.61,44.9893,0.0406,0.0265183098591549,0.0195084745762711,0.0394,0.0277183098591549,0.0207401129943502,0.0169014778325123,99,99,99,99,99,99
ZTF,16.9942,16.3586,16.1286,17.0019,16.3508,16.1178,16.0348,252.966,43.7051,0.0446,0.0295183098591549,0.0215084745762711,0.0434,0.0307183098591549,0.0227401129943502,0.0179014778325123,99,99,99,99,99,99
ZTF,17.0472,16.7661,16.6509,17.053,16.7331,16.6115,16.5972,249.631,37.065,0.04555,0.0297774647887324,0.0215084745762711,0.0441999999999999,0.0315774647887324,0.0227401129943502,0.0182019704433497,99,99,99,99,99,99
ZTF,16.1466,15.7681,15.6471,16.1687,15.7438,15.6028,15.5761,230.566,42.7151,0.09905,0.0652957746478873,0.0472711864406779,0.0962,0.0682957746478873,0.0503502824858757,0.040103448275862,99,99,99,99,99,99
ZTF,16.1001,15.7776,15.6779,16.1194,15.7418,15.634,15.6085,240.473,59.706,0.0366499999999999,0.0242591549295774,0.0175084745762711,0.0356,0.0248591549295774,0.0187401129943502,0.0149014778325123,99,99,99,99,99,99
ZTF,16.8745,16.425,16.248,16.8801,16.4039,16.2144,16.1544,247.635,52.5713,0.10005,0.0662957746478873,0.0475254237288135,0.0972,0.0692957746478873,0.0512203389830508,0.0408029556650246,99,99,99,99,99,99
ZTF,17.9988,17.3428,17.1429,17.948,17.34,17.0798,16.9807,233.864,17.4084,0.16045,0.1060732394366197,0.0762881355932203,0.1558,0.1108732394366197,0.0818305084745762,0.0653054187192118,99,99,99,99,99,99
ZTF,16.8415,16.2417,16.0108,16.8392,16.2241,15.9829,15.8962,251.088,23.1596,0.1565,0.1030732394366197,0.0742881355932203,0.152,0.1078732394366197,0.0798305084745762,0.0633054187192118,99,99,99,99,99,99
ZTF,17.0412,16.6015,16.4506,17.037,16.5769,16.3977,16.3568,247.481,48.1074,0.05055,0.0335183098591549,0.0237627118644067,0.0492,0.0347183098591549,0.0256101694915254,0.0209014778325123,99,99,99,99,99,99
ZTF,17.5298,16.998,16.7475,17.5409,16.9869,16.7308,16.6233,258.098,79.4205,0.16445,0.1083323943661971,0.0782881355932203,0.1598,0.1137323943661972,0.0838305084745762,0.0666059113300492,99,99,99,99,99,99
ZTF,15.55,15.2866,15.1826,15.5721,15.2511,15.1241,15.1171,231.719,22.5239,0.19415,0.1283323943661972,0.0927966101694915,0.1886,0.1337323943661972,0.0995706214689265,0.0789064039408867,99,99,99,99,99,99
ZTF,17.2294,16.9486,16.8684,17.257,16.9377,16.8384,16.8152,249.931,43.8544,0.0426,0.0285183098591549,0.0205084745762711,0.0414,0.0297183098591549,0.0217401129943502,0.0169014778325123,99,99,99,99,99,99
ZTF,16.4733,16.0685,15.8968,16.4838,16.0297,15.8622,15.8132,236.358,28.5716,0.09015,0.0592957746478873,0.0432711864406779,0.0876,0.0622957746478873,0.0463502824858757,0.0368029556650246,99,99,99,99,99,99
ZTF,17.6517,17.0892,16.8909,17.6576,17.0714,16.8683,16.7948,238.271,59.9217,0.04655,0.0305183098591549,0.0217627118644067,0.0452,0.0317183098591549,0.0236101694915254,0.0189014778325123,99,99,99,99,99,99
