survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA_SDSS-G,GAIA_SDSS-R,GAIA_SDSS-I,GAIA_SDSS-Z,GAIA_SDSS-g,GAIA_SDSS-r,GAIA_SDSS-i,GAIA_SDSS-z,SOURCEID
SDSS,16.9523,16.3512,16.1419,15.9953,16.8559,16.3415,16.1227,16.0338,308.535,-1.00301,0.588862,0.406141,0.301192,0.225246,0.568512,0.403775,0.298842,0.23702,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.4269,16.8913,16.7212,16.6266,17.3389,16.8986,16.7168,16.6538,308.536,0.376613,0.387909,0.266823,0.197814,0.148166,0.374404,0.265324,0.196271,0.156113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.3242,15.7081,15.4947,15.3919,16.2467,15.7021,15.4994,15.4249,308.536,0.327376,0.385909,0.265823,0.196814,0.14816,0.372404,0.264324,0.195271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.5728,18.1063,17.9366,17.8591,18.4846,18.0903,17.9477,17.8783,308.539,0.74472,0.309926,0.21307,0.15804,0.118129,0.299011,0.211887,0.156791,0.12431,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.0766,16.4985,16.3198,16.2403,16.9925,16.4913,16.319,16.2626,308.539,0.643041,0.332923,0.229946,0.169983,0.127142,0.321452,0.228606,0.168661,0.133911,17.1117,16.5095,16.327,16.2392,17.1011,16.5095,16.327,16.2392,4229916344107523328
SDSS,16.6919,16.1281,15.9393,15.8468,16.608,16.1234,15.9251,15.858,308.54,-0.0565604,0.413903,0.284761,0.211701,0.158172,0.399473,0.283183,0.210011,0.166414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.8127,17.2389,17.0449,16.9355,17.7181,17.2279,17.0353,16.9587,308.54,-0.0666416,0.413903,0.284761,0.211701,0.158172,0.399473,0.283183,0.210011,0.166414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.8614,17.25,17.0043,16.8664,17.7391,17.2392,17.0139,16.9118,308.54,-0.565507,0.582862,0.401203,0.298136,0.22324,0.562512,0.398915,0.295712,0.234719,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.3097,17.8255,17.6547,17.5808,18.2372,17.8289,17.6531,17.5915,308.541,1.11782,0.305928,0.21007,0.15604,0.117129,0.295198,0.208887,0.154791,0.12331,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.4705,17.7121,17.4299,17.2724,18.3653,17.7033,17.428,17.3186,308.542,0.333172,0.385909,0.265823,0.196814,0.14816,0.372404,0.264324,0.195271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.8088,17.2499,17.0714,16.9502,17.7232,17.2444,17.0502,16.9771,308.545,-0.102324,0.410904,0.283699,0.210701,0.157172,0.396659,0.282042,0.209011,0.165414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,15.6186,15.1212,14.9736,14.9105,15.5502,15.1106,14.9674,14.9407,308.546,0.680197,0.321924,0.221946,0.16404,0.123135,0.310639,0.220606,0.162791,0.129611,-999,-999,-999,-999,-999,-999,-999,-999,-999
